perturbation,gene,fm_log2FC,fm_call,real_label,regime,raw_log2FC,raw_se,raw_q,n_trt,n_cntrl
TSC22D1,MAP7D1,0.038895383477211,no_effect,TESTED_NEGATIVE,single_seen,0.0236376428486062,0.0701091113895262,0.8889733462228974,258,6921
TSC22D1,KIF2C,0.0397659800946712,no_effect,TESTED_NEGATIVE,single_seen,-0.0397252484370078,0.0611605932273613,0.7515297252289758,200,5426
TSC22D1,CKS1B,-0.1198247894644737,no_effect,TESTED_NEGATIVE,single_seen,-0.0950231543557096,0.0371128960827179,0.0609639708075532,417,11217
TSC22D1,HK2,0.152661919593811,no_effect,TESTED_NEGATIVE,single_seen,-0.0075940095305558,0.0580955000355602,0.9610517537404956,78,2146
TSC22D1,FEV,-0.6709000468254089,effect,POSITIVE,single_seen,-0.577664581774033,0.1499882168918463,0.0013462260953629,82,3208
TSC22D1,NCL,-0.070159912109375,no_effect,TESTED_NEGATIVE,single_seen,-0.135852349073827,0.032662148189107,0.0004136366736221,432,11547
TSC22D1,FOXL2,-0.2389100193977356,no_effect,TESTED_NEGATIVE,single_seen,0.0115677941747304,0.0655866701855284,0.9455135135135134,145,3817
TSC22D1,PTPN12,0.2235055118799209,no_effect,TESTED_NEGATIVE,single_seen,-0.0674657848392132,0.0788155388373488,0.6541560770845259,190,5613
TSC22D1,TMSB4X,0.0485277846455574,no_effect,TESTED_NEGATIVE,single_seen,0.0454100519624918,0.032628169519959,0.4082960432678622,435,11587
TSC22D1,SET,-0.0780738219618797,no_effect,TESTED_NEGATIVE,single_seen,-0.131735552402722,0.0261330391907092,8.167762120618694e-06,435,11576
TSC22D1,CDKN1C,0.5472107529640198,effect,TESTED_NEGATIVE,single_seen,0.0248523677524831,0.069331170612594,0.8802236511042774,100,2740
TSC22D1,SPI1,0.0132960900664329,no_effect,TESTED_NEGATIVE,single_seen,0.0119578833106338,0.052551734989483,0.9292200051826898,148,4132
TSC22D1,KMT2A,-0.1276365965604782,no_effect,TESTED_NEGATIVE,single_seen,-0.0881378387357743,0.0693868904384371,0.4610294573643411,266,7468
TSC22D1,CELF2,-0.0467716455459594,no_effect,TESTED_NEGATIVE,single_seen,-0.0535572075131021,0.0552083070807622,0.5996844279223461,351,9538
TSC22D1,TSC22D1,0.1457861810922622,no_effect,POSITIVE,single_seen,2.26698033333893,0.0670306228725153,2.7500000000000003e-250,388,4875
TSC22D1,CBFA2T3,0.0845719277858734,no_effect,TESTED_NEGATIVE,single_seen,0.0466429280940951,0.0919578631519481,0.817058769653488,179,4876
TSC22D1,HOXB9,-0.0356499664485454,no_effect,TESTED_NEGATIVE,single_seen,-0.0642322223313719,0.069589664319533,0.6208526420737787,255,7312
TSC22D1,S1PR2,0.0575320459902286,no_effect,POSITIVE,single_seen,0.935292624842464,0.2321893531259969,0.000686712695194,45,612
TSC22D1,KLF1,0.0098829362541437,no_effect,TESTED_NEGATIVE,single_seen,0.0284576936583469,0.0498383886471919,0.7905359643539146,266,6882
TSC22D1,LYL1,0.0207049846649169,no_effect,TESTED_NEGATIVE,single_seen,-0.0461278520814761,0.0499752558080678,0.6208526420737787,381,10345
TSC22D1,MAPK1,0.0276836492121219,no_effect,TESTED_NEGATIVE,single_seen,0.0204926195067311,0.0510311627061678,0.8610829994275901,389,10490
CEBPE+RUNX1T1,ARID1A,0.1088895499706268,no_effect,TESTED_NEGATIVE,combo_seen1,0.0504366387776738,0.0404112271281534,0.4154406085430076,677,6903
CEBPE+RUNX1T1,MAP7D1,0.1099759936332702,no_effect,TESTED_NEGATIVE,combo_seen1,0.0319279357214861,0.0439938085852035,0.6718096870981569,683,6921
CEBPE+RUNX1T1,SLC6A9,0.2730666399002075,effect,POSITIVE,combo_seen1,-0.9885635790131,0.3058828433970209,0.007184602181904,17,396
CEBPE+RUNX1T1,KIF2C,-0.1895250529050827,no_effect,TESTED_NEGATIVE,combo_seen1,0.0396040732355428,0.0672631280972285,0.7385156002115284,520,5426
CEBPE+RUNX1T1,JUN,1.219427466392517,effect,POSITIVE,combo_seen1,-0.595473196152433,0.1638665387319077,0.0019146116890958,82,1279
CEBPE+RUNX1T1,CKS1B,-0.2615534961223602,effect,TESTED_NEGATIVE,combo_seen1,-0.0829060150465216,0.0212387790782634,0.000708697845208,1089,11217
CEBPE+RUNX1T1,HK2,0.2161330431699752,no_effect,TESTED_NEGATIVE,combo_seen1,0.0803130704618554,0.0954266209764032,0.6127153529501449,222,2146
CEBPE+RUNX1T1,BCL2L11,0.5438544154167175,effect,POSITIVE,combo_seen1,0.378879170735106,0.062577290578458,1.8784430646270825e-08,420,3477
CEBPE+RUNX1T1,FEV,0.6511046886444092,effect,POSITIVE,combo_seen1,0.428224357394594,0.0724282676614195,4.3430552332500305e-08,382,3208
CEBPE+RUNX1T1,NCL,-0.2333271354436874,no_effect,TESTED_NEGATIVE,combo_seen1,-0.152063471135888,0.0167434125187649,2.4343322553400956e-18,1170,11547
CEBPE+RUNX1T1,TGFBR2,3.073535919189453,effect,POSITIVE,combo_seen1,1.49000329731598,0.3092045816185808,1.4279882788376322e-05,25,76
CEBPE+RUNX1T1,FOXL2,-0.2442005425691604,no_effect,TESTED_NEGATIVE,combo_seen1,0.0213748981556552,0.0644106753334334,0.8595121387283237,366,3817
CEBPE+RUNX1T1,IRF1,1.6062830686569214,effect,POSITIVE,combo_seen1,0.352251964472762,0.130602432571789,0.0321741364036952,113,904
CEBPE+RUNX1T1,BAK1,0.3274239599704742,effect,TESTED_NEGATIVE,combo_seen1,0.104704775396404,0.0687925638859886,0.2987955390334573,320,3133
CEBPE+RUNX1T1,POU3F2,1.2978289127349854,effect,TESTED_NEGATIVE,combo_seen1,-0.0005611360807289,0.0074549901524287,0.9707246376811596,99,1044
CEBPE+RUNX1T1,PTPN12,0.2118749320507049,no_effect,TESTED_NEGATIVE,combo_seen1,0.111642781865991,0.0479672599243819,0.0790900578003848,563,5613
CEBPE+RUNX1T1,BPGM,0.463289737701416,effect,POSITIVE,combo_seen1,-0.25233841442372,0.0845564261936817,0.0148983077016151,224,2823
CEBPE+RUNX1T1,ZC3HAV1,0.1991792768239975,no_effect,TESTED_NEGATIVE,combo_seen1,-0.0950704833113945,0.0432672246649646,0.100219451371571,742,7760
CEBPE+RUNX1T1,TMSB4X,0.0345252864062786,no_effect,POSITIVE,combo_seen1,0.360368871578926,0.0153489604902432,4.867281261152935e-120,1195,11587
CEBPE+RUNX1T1,DUSP9,2.138733386993408,effect,POSITIVE,combo_seen1,0.408683100182478,0.1384984951789514,0.0163464474233495,145,1061
CEBPE+RUNX1T1,RUNX1T1,1.4359744787216189,effect,POSITIVE,combo_seen1,3.27048753701808,0.0967025666165516,1.4150704225352114e-248,476,22
CEBPE+RUNX1T1,SET,-0.1846328377723693,no_effect,TESTED_NEGATIVE,combo_seen1,-0.206977844572182,0.0164351031092886,8.80971367510974e-35,1186,11576
CEBPE+RUNX1T1,IER5L,1.7968720197677612,effect,POSITIVE,combo_seen1,0.522189513378898,0.1689296267286744,0.010956364912119,75,528
CEBPE+RUNX1T1,CDKN1C,0.8719627857208252,effect,TESTED_NEGATIVE,combo_seen1,0.0412380924485008,0.0714809337268659,0.7447112629780522,281,2740
CEBPE+RUNX1T1,SPI1,0.3705333769321441,effect,POSITIVE,combo_seen1,0.887652025813285,0.0513729975687829,3.551139431830581e-65,626,4132
CEBPE+RUNX1T1,KMT2A,0.2635661959648132,effect,TESTED_NEGATIVE,combo_seen1,-0.0307599676109713,0.0469097393861492,0.7036060730406237,722,7468
CEBPE+RUNX1T1,CBL,0.5929139852523804,effect,TESTED_NEGATIVE,combo_seen1,0.127961503562565,0.0701156302978551,0.1914250490333426,331,3070
